D2-transform-then-numreq | TC=REJECT | Type checking failed because of a type inconsistency. 
D3-buildcol-sort | TC=REJECT | Type checking failed because of a type inconsistency. 
F3-bracket-retype | TC=REJECT | Type checking failed because of a type inconsistency. 
F4-stack-mismatch | TC=ACCEPT RUN_exit=1 | The run ended in error:  Tables have different column sizes in stack: 1 2 Pyret stack:   file:///bat/F4-stack-mismatch.arr: line 3, column 23 
F5-empty-infer | TC=REJECT | Type checking failed because of a type inconsistency. 
R1-getcol-missing | TC=REJECT | does not have a column named `nope`, as required by the use at file:///bat/R1-getcol-missing.arr:4:17-4:23. The table wa
R2-postdrop | TC=REJECT | does not have a column named `age`, as required by the use at file:///bat/R2-postdrop.arr:4:29-4:34. The table was const
R3-wrong-sort-arg | TC=REJECT | The type checker rejected your program because column `q` was expected to contain `Number` but was found to contain `Str
W1-cell-ann | TC=REJECT | Type checking failed because of a type inconsistency. 
W1b-cell-ann-row | TC=REJECT | Type checking failed because of a type inconsistency. 
W2-addcol-collision | TC=ACCEPT RUN_exit=1 | The run ended in error:  column-name-exists Pyret stack:   file:///bat/W2-addcol-collision.arr: line 2, column 2   file:///bat/W2-addcol-collision.arr: line 4, column 6 
W3-rename-collision | TC=ACCEPT RUN_exit=1 | The run ended in error:  transform-column: tried changing the name of column a to b but that new name already exists as a column name (existing column name(s) were a, b) Pyret stack:   file:///bat/W3-rename-collision.arr
W4-depth-mismatch | TC=REJECT | Type checking failed because of a type inconsistency. 
