# Targeted soundness battery — trial4-opus5 (Opus 5 design)
# Oracle: /app/typecheck-example, then build-runnable + run. Witness = accepts then observes a wrong-typed value.

A1-any-cell | TC=REJECT | Type checking failed because of a type inconsistency. 
A2-extend-any | TC=REJECT | 
A3-addcol-any | TC=REJECT | Type checking failed because of a type inconsistency. 
A4-buildcol-computed | TC=REJECT | Type checking failed because of a type inconsistency. 
A5-addcol-poly-collide | TC=REJECT | Type checking failed because of a type inconsistency. 
A6-buildcol-pin-collide | TC=ACCEPT RUN_exit=1 | The run ended in error:  build-column: tried adding the column dup but it already exists (existing column names were dup) Pyret stack:   file:///probes/A6-buildcol-pin-collide.arr: line 2, column 7   file:///probes/A6-buildcol-pin-collide.arr: line 5, column 6 
A7-groupby-stack | TC=REJECT | Type checking failed because of a type inconsistency. 
A8-select-computed | TC=REJECT | Type checking failed because of a type inconsistency. 
A9-reduce-any | TC=REJECT | Type checking failed because of a type inconsistency. 
B1-drop-suffix-poly | TC=ACCEPT RUN_exit=0 | OBS=[list: "hi"]The program didn't define any tests. 
B2-drop-reannotate | TC=REJECT | Type checking failed because of a type inconsistency. 
C1-rename-poly | TC=ACCEPT RUN_exit=0 | OBS-type=[list: "k", "new"]The program didn't define any tests. 
D-bareTable | TC=REJECT | Type checking failed because of a type inconsistency. 
D-fnany | TC=REJECT | 
D-reannotate | TC=REJECT | Type checking failed because of a type inconsistency. 
E1-transform-retype | TC=REJECT | Type checking failed because of a type inconsistency. 
E2-homogeneous | TC=REJECT | 
E3-transform-newsort | TC=ACCEPT RUN_exit=0 | OBS=[list: "1", "2"]The program didn't define any tests. 
base-any | TC=REJECT | Type checking failed because of a type inconsistency. 
